case;E2SNO (kmol/y);E2S1 (kmol/y);E2RIV (kmol/y);Etot (kmol/y);S1StorFugP (kmol/y);S1StorFugN (kmol/y);S2StorFugP (kmol/y);S2StorFugN (kmol/y);S3StorFugP (kmol/y);S3StorFugN (kmol/y);SNOStorFugP (kmol/y);SNOStorFugN (kmol/y);S1StorPreP (kmol/y);S1StorPreN (kmol/y);S2StorPreP (kmol/y);S2StorPreN (kmol/y);S3StorPreP (kmol/y);S3StorPreN (kmol/y);SNOStorPreP (kmol/y);SNOStorPreN (kmol/y);S1StorIonP (kmol/y);S1StorIonN (kmol/y);S2StorIonP (kmol/y);S2StorIonN (kmol/y);S3StorIonP (kmol/y);S3StorIonN (kmol/y);SNOStorIonP (kmol/y);SNOStorIonN (kmol/y);Fug-stora (kmol/y);Fug-storb (kmol/y);Pre-stora (kmol/y);Pre-storb (kmol/y);Ion-stora (kmol/y);Ion-storb (kmol/y);Fug-Abs (kmol/y);Fug-Sea (kmol/y);Pre-Abs (kmol/y);Pre-Sea (kmol/y);Ion-Abs (kmol/y);Ion-Sea (kmol/y);DecayS1 (kmol/y);DecayS2 (kmol/y);DecayS3 (kmol/y);DecaySNO (kmol/y);Decay (kmol/y);VolatS1 (kmol/y);VolatS2 (kmol/y);VolatS3 (kmol/y);VolatSNO (kmol/y);Volat (kmol/y);Fug-Sed (kmol/y);Pre-Sed (kmol/y);Ion-Sed (kmol/y);RGWStorPFug (kmol/y);RGWStorNFug (kmol/y);RGWStorPPre (kmol/y);RGWStorNPre (kmol/y);RGWStorPIon (kmol/y);RGWStorNIon (kmol/y);RGWS1PFug (kmol/y);RGWS1NFug (kmol/y);RGWS2PFug (kmol/y);RGWS2NFug (kmol/y);RGWS3PFug (kmol/y);RGWS3NFug (kmol/y);RGWS1PPre (kmol/y);RGWS1NPre (kmol/y);RGWS2PPre (kmol/y);RGWS2NPre (kmol/y);RGWS3PPre (kmol/y);RGWS3NPre (kmol/y);RGWS1PIon (kmol/y);RGWS1NIon (kmol/y);RGWS2PIon (kmol/y);RGWS2NIon (kmol/y);RGWS3PIon (kmol/y);RGWS3NIon (kmol/y);RGWDecay (kmol/y)
85-43-8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
115-95-7;2.7951;25.735;2.5783;31.109;0;-0.27228;9.41E-03;0;1.18E-03;0;1.36E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.26169;0;0;0;0;-0.21126;-0.92739;0;0;0;0;-24.63;-0.72656;-1.78E-02;-3.53E-02;-26.164;-7.02E-02;0;0;-2.7452;-3.5446;-4.68E-04;0;0;6.03E-05;0;0;0;0;0;0;0;8.16E-04;0;2.05E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.10E-03
118-69-4;1.906;16.979;2.4762;21.361;0;-1.7571;0;-4.2193;0;-3.2128;5.34E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9.7356;0;0;0;0;-0.19715;-1.5699;0;0;0;0;-0.61286;-0.53193;-0.16676;-1.67E-05;-1.3377;-2.7712;0;0;-1.9006;-8.5079;-1.22E-02;0;0;0;-0.65446;0;0;0;0;0;0;0.16277;0;0.51379;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.21E-02
120-57-0;0.16443;1.3803;0.24596;1.7907;0;-4.11E-02;1.33E-02;0;1.05E-02;0;4.46E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.80E-03;0;0;0;0;-3.98E-02;-0.26518;0;0;0;0;-0.72789;-0.48223;-0.12533;-2.89E-02;-1.4717;-8.96E-03;0;0;-2.26E-03;-1.13E-02;-7.06E-06;0;0;7.28E-04;0;0;0;0;0;0;0;3.98E-03;0;1.23E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.70E-02
123-04-6;0.55793;5.1546;0.52973;6.2426;0;-0.17931;1.15E-02;0;0;-2.34E-03;1.23E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.16903;0;0;0;0;-3.88E-02;-0.23878;0;0;0;0;-3.1914;-0.39643;-2.39E-02;-1.90E-04;-3.6313;-1.3419;0;0;-0.55643;-2.1635;-6.36E-04;0;0;0;-4.56E-04;0;0;0;0;0;0;1.41E-03;0;7.79E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.74E-03
124-17-4;11.707;98.052;15.804;125.57;0;-2.9566;0.94336;0;0.75209;0;0.32489;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.20336;0;0;0;0;-2.5983;-17.929;0;0;0;0;-50.469;-34.263;-9.1072;-1.9911;-103.26;-1.2481;0;0;-0.32044;-1.5809;-5.27E-04;0;0;5.00E-02;0;0;0;0;0;0;0;0.28999;0;0.91249;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2529
133-91-5;9.34E-03;7.86E-02;0.16284;0.25082;0;-1.91E-05;7.95E-09;0;0;-3.35E-08;2.34E-05;0;2.01E-10;0;2.68E-10;0;5.29E-10;0;0;-1.71E-05;0;-3.60E-03;2.74E-03;0;0;-1.37E-02;1.89E-04;0;0;-9.69E-06;0;-1.71E-05;0;-3.48E-02;-1.34E-02;-7.28E-03;-1.47E-09;-6.68E-07;-1.32E-02;-0.17536;-2.46E-03;-4.75E-06;-1.28E-06;-1.80E-04;-6.75E-03;-2.18E-08;0;0;-4.51E-06;-4.57E-06;-3.03E-05;-4.63E-10;0;0;-3.22E-08;1.94E-10;0;0;-1.52E-02;0;0;3.60E-09;0;3.73E-09;0;0;0;0;0;0;0;0;0;1.36E-03;0;1.38E-02;0;-4.43E-07
142-91-6;9.2606;95.229;2.7563;107.25;0;-2.1565;4.75E-03;0;1.52E-05;0;1.81E-03;0;0;-0.15824;0;-1.66E-06;0;0;0;-6.54E-03;0;0;0;0;0;0;0;0;0;-2.1654;0;-0.1684;0;0;-0.3955;-1.8887;-1.22E-04;0;0;0;-92.889;-5.03E-02;-4.40E-04;-1.15E-02;-93.379;-5.20E-04;0;0;-9.2189;-9.2239;-2.20E-02;-6.70E-05;0;2.03E-07;0;0;0;0;0;0;0;7.35E-07;0;2.19E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.76E-05
298-12-4;56.379;470.73;54.649;581.73;0;-0.12312;7.06E-03;0;0;-3.53E-03;0.13486;0;0;0;0;0;0;0;0;0;0;-19.545;14.549;0;0;-74.346;0.98482;0;1.55E-02;0;0;0;0;-164.87;-4.4473;-2.502;0;0;-19.566;-325.75;-53.269;-1.4117;-0.59273;-4.1573;-64.913;-2.46E-02;0;0;-3.43E-02;-5.91E-02;-6.11E-08;0;0;0;-3.50E-03;0;0;0;-80.803;0;0;2.06E-03;-1.85E-06;3.95E-03;0;0;0;0;0;0;0;0;0;7.3413;0;73.653;0;-0.18818
502-44-3;36.183;302.13;48.39;386.7;0;-9.7022;0.37856;0;1.5456;0;0.33476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.1573;0;0;0;0;-7.1463;-44.513;0;0;0;0;-161.2;-89.042;-19.863;-1.9725;-289.29;-5.5016;0;0;-30.173;-39.59;-1.33E-04;0;0;0.12894;0;0;0;0;0;0;0;0.65056;0;1.724;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.5045
583-39-1;3.57E-03;3.00E-02;0.12393;0.15746;0;-1.07E-05;2.06E-06;0;0;-1.16E-05;9.57E-06;0;0;0;0;0;0;0;0;0;0;-1.39E-03;1.09E-03;0;0;-5.35E-03;6.71E-05;0;0;-4.13E-05;0;0;0;-1.55E-02;-1.03E-02;-5.95E-03;0;0;-9.11E-03;-0.11654;-3.44E-06;-1.13E-06;-1.43E-06;-2.39E-07;-1.83E-05;-3.52E-06;0;0;-2.66E-06;-6.92E-06;-1.11E-07;0;0;0;-1.13E-05;0;0;0;-6.10E-03;0;0;1.16E-06;0;1.09E-05;0;0;0;0;0;0;0;0;0;5.39E-04;0;5.56E-03;0;-4.87E-07
682-09-7;1.9187;16.148;4.624;22.691;0;-0.4529;0.16394;0;0.10535;0;4.94E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.73E-02;0;0;0;0;-0.70443;-4.0773;0;0;-5.45E-09;-4.34E-10;-9.4246;-5.3416;-1.2241;-0.37716;-17.829;-3.08E-02;0;0;-1.22E-02;-4.30E-02;-4.06E-04;0;0;8.19E-03;0;0;0;0;0;0;0;3.92E-02;0;0.10878;0;0;0;0;0;0;0;0;0;6.57E-11;0;1.12E-10;0;-0.15626
762-04-9;0.31688;2.6454;0.52859;3.491;0;-1.52E-03;0;-2.80E-04;0;-1.77E-05;1.84E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.56E-05;0;0;0;0;-5.50E-02;-6.99E-02;0;0;0;0;-2.5692;-0.11054;-3.17E-03;-0.25501;-3.3493;-3.87E-03;0;0;-1.21E-02;-1.64E-02;-6.44E-09;0;0;1.78E-07;0;0;0;0;0;0;0;5.77E-05;0;2.30E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.35E-05
932-64-9;6.81E-02;0.56803;1.2279;1.864;0;-1.22E-02;4.05E-03;0;2.66E-03;0;1.31E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.78E-03;0;0;0;0;-0.17456;-0.81829;0;0;0;0;-0.37483;-0.17124;-3.14E-02;-1.78E-02;-0.86536;-7.39E-09;0;0;-1.05E-06;-1.06E-06;-6.41E-09;0;0;2.36E-04;0;0;0;0;0;0;0;9.49E-04;0;2.20E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.40E-03
