case;E2SNO (kmol/y);E2S1 (kmol/y);E2RIV (kmol/y);Etot (kmol/y);S1StorFugP (kmol/y);S1StorFugN (kmol/y);S2StorFugP (kmol/y);S2StorFugN (kmol/y);S3StorFugP (kmol/y);S3StorFugN (kmol/y);SNOStorFugP (kmol/y);SNOStorFugN (kmol/y);S1StorPreP (kmol/y);S1StorPreN (kmol/y);S2StorPreP (kmol/y);S2StorPreN (kmol/y);S3StorPreP (kmol/y);S3StorPreN (kmol/y);SNOStorPreP (kmol/y);SNOStorPreN (kmol/y);S1StorIonP (kmol/y);S1StorIonN (kmol/y);S2StorIonP (kmol/y);S2StorIonN (kmol/y);S3StorIonP (kmol/y);S3StorIonN (kmol/y);SNOStorIonP (kmol/y);SNOStorIonN (kmol/y);Fug-stora (kmol/y);Fug-storb (kmol/y);Pre-stora (kmol/y);Pre-storb (kmol/y);Ion-stora (kmol/y);Ion-storb (kmol/y);Fug-Abs (kmol/y);Fug-Sea (kmol/y);Pre-Abs (kmol/y);Pre-Sea (kmol/y);Ion-Abs (kmol/y);Ion-Sea (kmol/y);DecayS1 (kmol/y);DecayS2 (kmol/y);DecayS3 (kmol/y);DecaySNO (kmol/y);Decay (kmol/y);VolatS1 (kmol/y);VolatS2 (kmol/y);VolatS3 (kmol/y);VolatSNO (kmol/y);Volat (kmol/y);Fug-Sed (kmol/y);Pre-Sed (kmol/y);Ion-Sed (kmol/y);RGWStorPFug (kmol/y);RGWStorNFug (kmol/y);RGWStorPPre (kmol/y);RGWStorNPre (kmol/y);RGWStorPIon (kmol/y);RGWStorNIon (kmol/y);RGWS1PFug (kmol/y);RGWS1NFug (kmol/y);RGWS2PFug (kmol/y);RGWS2NFug (kmol/y);RGWS3PFug (kmol/y);RGWS3NFug (kmol/y);RGWS1PPre (kmol/y);RGWS1NPre (kmol/y);RGWS2PPre (kmol/y);RGWS2NPre (kmol/y);RGWS3PPre (kmol/y);RGWS3NPre (kmol/y);RGWS1PIon (kmol/y);RGWS1NIon (kmol/y);RGWS2PIon (kmol/y);RGWS2NIon (kmol/y);RGWS3PIon (kmol/y);RGWS3NIon (kmol/y);RGWDecay (kmol/y)
85-43-8;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999
83905-01-5;4.24E-04;4.33E-03;2.25E-02;2.72E-02;0;-3.05E-06;2.21E-06;0;0;-8.15E-06;8.43E-07;0;0;-3.44E-11;0;-1.10E-11;1.97E-11;0;0;-4.93E-07;0;-2.06E-04;1.78E-04;0;0;-7.50E-04;7.01E-06;0;0;-2.83E-05;0;-4.93E-07;0;-2.23E-03;-1.88E-03;-1.27E-03;-3.88E-10;-1.30E-07;-1.57E-03;-1.97E-02;-6.81E-05;-9.64E-05;-1.17E-04;-2.21E-06;-5.33E-04;0;0;0;0;0;-6.68E-07;-3.49E-11;0;0;-1.24E-05;7.35E-11;0;0;-8.83E-04;0;0;7.76E-07;0;6.61E-06;0;0;0;0;0;0;0;0;0;8.49E-05;0;8.42E-04;0;-3.90E-05
13684-63-4;3.3573;35.583;0.52623;39.47;0;-5.47E-02;2.74E-02;0;2.73E-03;0;2.28E-02;0;0;0;0;0;0;0;0;0;0;-3.96E-07;2.23E-07;0;2.30E-08;0;1.13E-07;0;7.68E-03;0;0;0;5.30E-08;0;-5.62E-02;-0.21592;0;0;-2.43E-07;-1.76E-06;-35.326;-1.5945;-6.23E-02;-1.8644;-39.186;-1.47E-05;0;0;-6.32E-03;-6.34E-03;-3.19E-04;0;0;8.72E-05;0;0;0;8.44E-10;0;0;0;7.89E-04;0;9.16E-04;0;0;0;0;0;0;0;0;0;1.25E-08;0;1.65E-08;0;-1.80E-03
709-98-8;1.03;10.87;0.16082;12.061;0;-5.78E-03;9.02E-03;0;0;-4.48E-02;1.83E-03;0;0;0;0;0;0;0;0;0;0;-0.2841;0.51699;0;0;-2.4635;1.26E-02;0;0;-6.83E-02;0;0;0;-4.0156;-1.36E-02;-0.12761;0;0;-0.24819;-7.2249;-6.99E-02;-0.10536;-0.13019;-2.31E-03;-0.3604;-3.68E-04;0;0;-1.06E-03;-1.43E-03;-7.45E-04;0;0;0;-3.01E-02;0;0;0;-1.9165;0;0;1.19E-03;0;2.20E-02;0;0;0;0;0;0;0;0;0;9.83E-02;0;1.8612;0;-3.60E-02
79-11-8;284.17;2376.1;1433.6;4094;0;-0.61613;0;-2.50E-03;0;-5.53E-03;0.75643;0;0;-3.37E-05;0;-4.56E-05;0;-8.67E-05;0;-0.53416;0;-108.95;82.196;0;0;-415.03;5.8269;0;3.40E-02;0;0;-0.53526;0;-953.96;-118.97;-66.153;-8.32E-05;-1.41E-02;-182.13;-2697.7;-45.06;-1.0064;-0.15291;-3.357;-71.966;-1.2346;0;0;-1.2006;-2.5758;-2.16E-05;-2.77E-05;0;0;-5.53E-03;0;-5.53E-04;0;-455;0;0;1.09E-02;-1.17E-05;8.11E-03;0;0;0;0;0;0;0;0;0;41;0;414.03;0;-4.47E-02
629-59-4;63.263;644.06;22.004;729.33;0;-18.528;9.24E-02;0;4.49E-04;0;1.12E-02;0;0;-2.9312;1.37E-06;0;0;-4.91E-12;0;-2.65E-04;0;0;0;0;0;0;0;0;0;-18.553;0;-2.9325;0;0;-3.1874;-16.434;-4.13E-03;-8.99E-03;0;0;-593.49;-0.86862;-1.40E-03;-2.64E-02;-596.26;-28.428;0;0;-63.096;-91.629;-0.26122;-1.28E-03;0;1.82E-06;0;0;-1.25E-07;0;0;0;0;2.82E-05;0;6.12E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.33E-04
164578-11-4;3.99E-03;3.35E-02;6.45E-02;0.10201;0;-8.15E-06;0;-2.43E-10;0;-6.96E-11;8.09E-06;0;0;-1.44E-08;0;-1.49E-08;0;-2.62E-08;0;-9.53E-06;0;-1.53E-03;1.16E-03;0;0;-5.82E-03;8.32E-05;0;0;-5.58E-06;0;-9.63E-06;0;-1.47E-02;-5.31E-03;-2.88E-03;-1.02E-08;-2.79E-06;-5.33E-03;-7.11E-02;-1.05E-03;-1.86E-06;-6.49E-09;-7.71E-05;-2.75E-03;0;0;0;0;0;-9.72E-06;-1.88E-09;0;0;-4.05E-10;0;-1.93E-08;0;-6.46E-03;0;0;2.04E-09;0;6.26E-11;0;0;0;0;0;0;0;0;0;5.78E-04;0;5.88E-03;0;-5.15E-09
100986-85-4;2.65E-05;2.12E-04;1.31E-02;1.34E-02;0;-2.74E-06;3.34E-06;0;0;-1.06E-05;1.93E-07;0;0;0;0;0;0;0;0;0;0;-6.88E-06;7.86E-06;0;0;-2.82E-05;3.42E-07;0;0;-1.31E-04;0;0;0;-3.40E-04;-1.36E-03;-3.69E-03;0;0;-5.78E-04;-7.24E-03;-8.05E-07;-2.25E-06;-2.95E-06;-1.68E-08;-2.75E-05;0;0;0;0;0;-8.86E-10;0;0;0;-2.20E-05;0;0;0;-4.86E-05;0;0;1.62E-06;0;1.96E-05;0;0;0;0;0;0;0;0;0;3.70E-06;0;4.69E-05;0;-1.45E-06
138402-11-6;4.31E-03;3.85E-02;0.84356;0.88636;0;-2.26E-04;2.04E-04;0;0;-8.06E-04;1.86E-05;0;0;-1.81E-08;0;-1.88E-08;0;-3.33E-08;0;-8.84E-06;0;-1.55E-03;1.38E-03;0;0;-5.68E-03;7.19E-05;0;0;-4.14E-03;0;-8.95E-06;0;-2.89E-02;-7.58E-02;-0.11475;-9.89E-09;-2.72E-06;-4.94E-02;-0.59373;-1.04E-03;-2.53E-03;-2.88E-03;-2.67E-05;-1.90E-02;0;0;0;0;0;-7.12E-04;-1.80E-09;0;0;-7.89E-04;0;-1.65E-08;0;-6.53E-03;0;0;1.16E-05;0;9.31E-05;0;0;0;0;0;0;0;0;0;7.55E-04;0;7.49E-03;0;-1.04E-03
50-78-2;6.87E-02;0.55596;3.4123;4.037;0;-1.54E-04;3.34E-06;0;0;-5.36E-06;1.81E-04;0;0;0;0;0;0;0;0;0;0;-2.64E-02;1.90E-02;0;0;-9.87E-02;1.20E-03;0;0;-2.80E-04;0;0;0;-0.31579;-0.27961;-0.14944;0;0;-0.23567;-2.9447;-1.80E-02;-5.37E-04;-2.26E-04;-1.43E-03;-0.11143;-1.08E-05;0;0;-3.96E-05;-5.30E-05;-5.93E-07;0;0;0;-5.36E-06;0;0;0;-0.11331;0;0;2.88E-06;0;5.92E-06;0;0;0;0;0;0;0;0;0;1.02E-02;0;0.10308;0;-7.60E-05
56-75-7;3.29E-05;2.67E-04;8.32E-03;8.62E-03;0;-1.21E-05;7.48E-06;0;2.67E-06;0;6.99E-07;0;0;0;0;0;0;0;0;0;0;-3.38E-07;2.22E-07;0;9.53E-08;0;1.77E-08;0;0;-6.56E-05;0;0;0;-1.73E-06;-1.20E-03;-6.42E-03;0;0;-1.76E-05;-1.86E-04;-4.87E-05;-8.60E-05;-6.49E-05;-1.30E-06;-7.18E-04;0;0;0;0;0;-9.21E-09;0;0;0;-6.94E-06;0;0;0;-2.26E-07;0;0;3.18E-06;0;2.38E-05;0;0;0;0;0;0;0;0;0;1.00E-07;0;7.21E-07;0;-2.08E-05
59-67-6;1.94E-03;1.56E-02;0.15185;0.16943;0;-4.39E-06;6.62E-08;0;0;-1.79E-07;5.00E-06;0;0;0;0;0;0;0;0;0;0;-7.51E-04;5.59E-04;0;0;-2.83E-03;3.44E-05;0;0;-1.33E-05;0;0;0;-1.07E-02;-1.25E-02;-6.77E-03;0;0;-1.02E-02;-0.12671;-2.74E-04;-9.01E-06;-4.01E-06;-2.12E-05;-2.49E-03;-2.78E-08;0;0;-9.14E-07;-9.52E-07;-3.89E-09;0;0;0;-1.84E-07;0;0;0;-3.37E-03;0;0;8.74E-08;0;2.02E-07;0;0;0;0;0;0;0;0;0;2.98E-04;0;3.07E-03;0;-1.40E-06
84057-84-1;3.01E-03;2.47E-02;1.4235;1.4513;0;-1.12E-03;1.27E-03;0;0;-4.94E-03;7.41E-05;0;0;0;0;0;0;0;0;0;0;-8.27E-06;8.52E-06;0;0;-3.78E-05;3.82E-07;0;0;-5.32E-02;0;0;0;-4.02E-04;-0.21004;-1.1796;0;0;-5.78E-04;-7.62E-03;0;0;0;0;0;-8.02E-07;0;0;-1.48E-05;-1.57E-05;-1.14E-05;0;0;0;-8.27E-03;0;0;0;-5.27E-05;0;0;6.17E-04;0;7.62E-03;0;0;0;0;0;0;0;0;0;4.19E-06;0;5.42E-05;0;0
76824-35-6;1.76E-05;1.37E-04;7.25E-03;7.40E-03;0;-5.11E-06;5.20E-06;0;0;-6.55E-06;3.10E-07;0;0;0;0;0;0;0;0;0;0;-1.30E-06;1.24E-06;0;0;-1.84E-06;6.85E-08;0;0;-1.23E-04;0;0;0;-3.25E-05;-9.85E-04;-4.86E-03;0;0;-8.32E-05;-1.07E-03;-8.83E-06;-2.17E-05;-2.41E-05;-2.18E-07;-2.46E-04;0;0;0;0;0;-1.86E-10;0;0;0;-1.73E-05;0;0;0;-3.83E-06;0;0;2.20E-06;0;2.33E-05;0;0;0;0;0;0;0;0;0;5.11E-07;0;5.65E-06;0;-1.06E-05
68-35-9;1.92E-05;1.55E-04;9.32E-03;9.50E-03;0;-7.06E-06;8.19E-06;0;0;-2.57E-05;4.65E-07;0;0;0;0;0;0;0;0;0;0;-1.79E-11;1.97E-11;0;0;-6.82E-11;8.84E-13;0;0;-3.17E-04;0;0;0;-8.62E-10;-1.38E-03;-7.74E-03;0;0;-1.32E-09;-1.73E-08;-1.57E-06;-4.53E-06;-5.89E-06;-3.66E-08;-5.62E-05;-2.00E-09;0;0;-7.66E-08;-7.89E-08;-1.24E-09;0;0;0;-4.76E-05;0;0;0;-1.08E-10;0;0;3.79E-06;0;4.65E-05;0;0;0;0;0;0;0;0;0;8.82E-12;0;1.13E-10;0;-2.90E-06
101200-48-0;6.95E-04;2.55E-03;3.27E-05;3.27E-03;0;-1.07E-07;6.90E-08;0;0;-2.11E-08;5.80E-07;0;0;0;0;0;0;0;0;0;0;-7.97E-05;0;-1.76E-05;0;-4.60E-05;2.00E-05;0;5.67E-07;0;0;0;0;-3.37E-04;-5.38E-07;-5.66E-07;0;0;-5.86E-05;-2.85E-03;-2.53E-05;-1.21E-06;-1.12E-06;-5.11E-06;-3.38E-05;-4.68E-11;0;0;-6.70E-07;-6.70E-07;-1.01E-10;0;0;0;-2.83E-09;0;0;0;-1.61E-05;0;0;6.72E-10;0;2.96E-09;0;0;0;0;0;0;0;0;0;1.20E-06;0;1.47E-05;0;-1.40E-08
104206-82-8;1.6104;17.855;0.19662;19.662;0;-1.12E-03;0;-3.34E-05;0;-3.50E-05;1.49E-03;0;0;0;0;0;0;0;0;0;0;-0.59486;0.69493;0;0;-4.598;1.71E-02;0;3.22E-04;0;0;0;0;-7.0233;-1.20E-02;-2.90E-03;0;0;-0.4596;-12.025;-0.12933;-1.58E-03;-2.85E-04;-7.34E-03;-0.13994;-1.52E-07;0;0;-6.68E-05;-6.70E-05;-4.18E-08;0;0;0;-1.96E-05;0;0;0;-2.8584;0;0;1.99E-05;-5.75E-06;3.35E-05;-5.23E-06;0;0;0;0;0;0;0;0;0.14281;0;2.7159;0;-5.83E-05
112410-23-8;2.27E-02;0.24968;1.36E-02;0.28605;0;-6.58E-03;0;-5.26E-03;0;-2.20E-03;2.75E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.35E-02;0;0;0;0;-1.87E-03;-1.56E-02;0;0;0;0;-0.199;-4.80E-02;-5.53E-03;-6.21E-04;-0.25477;-2.26E-08;0;0;-4.06E-06;-4.08E-06;-2.88E-04;0;0;0;-2.73E-04;0;0;0;0;0;0;1.77E-04;0;4.57E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.62E-04
119168-77-3;1.31E-02;0.12192;1.36E-03;0.13633;0;-1.43E-04;1.65E-04;0;0;-9.81E-04;3.08E-05;0;0;0;0;0;0;0;0;0;0;-3.91E-03;3.83E-03;0;0;-2.86E-02;1.95E-04;0;0;-1.43E-03;0;0;0;-4.42E-02;-1.65E-04;-2.75E-03;0;0;-2.94E-03;-8.24E-02;-3.51E-04;-6.74E-04;-8.25E-04;-1.05E-05;-2.15E-03;-4.85E-09;0;0;-1.55E-05;-1.55E-05;-3.43E-04;0;0;0;-5.05E-04;0;0;0;-1.68E-02;0;0;2.82E-06;0;4.23E-05;0;0;0;0;0;0;0;0;0;8.88E-04;0;1.66E-02;0;-1.69E-04
123312-89-0;1.70E-02;0.18206;9.95E-03;0.20906;0;-2.94E-03;1.45E-03;0;6.95E-04;0;1.64E-04;0;0;0;0;0;0;0;0;0;0;-7.63E-07;3.72E-07;0;1.79E-07;0;3.92E-08;0;8.89E-05;0;0;0;1.52E-08;0;-1.33E-03;-1.09E-02;0;0;-1.66E-07;-2.67E-06;-0.1288;-4.98E-02;-9.27E-03;-3.64E-03;-0.19685;-1.80E-08;0;0;-6.93E-07;-7.11E-07;-6.66E-08;0;0;3.01E-05;0;0;0;6.90E-09;0;0;0;1.09E-04;0;5.83E-04;0;0;0;0;0;0;0;0;0;2.66E-08;0;1.44E-07;0;-7.23E-04
16672-87-0;1.72E-03;6.29E-03;4.00E-04;8.41E-03;0;-2.27E-07;1.98E-07;0;1.14E-09;0;4.25E-07;0;0;0;0;0;0;0;0;0;0;-1.98E-04;0;-4.36E-05;0;-1.15E-04;4.98E-05;0;6.55E-07;0;0;0;0;-8.65E-04;-6.41E-06;-2.25E-07;0;0;-1.51E-04;-7.38E-03;-1.13E-06;-3.53E-08;-5.57E-10;-1.99E-07;-1.43E-06;-1.14E-10;0;0;-6.52E-07;-6.52E-07;-2.81E-12;0;0;0;-7.91E-12;0;0;0;-4.06E-05;0;0;1.15E-09;0;1.32E-10;0;0;0;0;0;0;0;0;0;3.00E-06;0;3.71E-05;0;-1.34E-12
19937-59-8;0.15123;1.6065;2.38E-02;1.7814;0;-3.55E-03;1.83E-02;0;0;-5.38E-02;1.02E-03;0;0;0;0;0;0;0;0;0;0;-1.07E-02;8.50E-02;0;0;-0.18362;1.81E-03;0;0;-9.61E-02;0;0;0;-0.3498;-6.81E-03;-0.20811;0;0;-2.26E-02;-0.80403;-3.51E-02;-8.59E-02;-0.11115;-6.33E-04;-0.29331;-1.27E-05;0;0;-5.45E-04;-5.57E-04;-5.17E-05;0;0;0;-5.72E-02;0;0;0;-0.24326;0;0;3.33E-03;0;6.48E-02;0;0;0;0;0;0;0;0;0;1.45E-02;0;0.26072;0;-4.29E-02
55335-06-3;3.82E-02;0.4582;6.71E-03;0.50306;0;-3.70E-06;3.47E-06;0;0;-1.06E-06;1.43E-04;0;0;0;0;0;0;0;0;0;0;-8.65E-03;0;-4.27E-03;0;-7.71E-02;1.06E-03;0;1.45E-04;0;0;0;0;-0.10384;-4.67E-04;-1.63E-03;0;0;-1.86E-02;-0.37853;0;0;0;0;0;-1.56E-05;0;0;-1.49E-04;-1.65E-04;-4.48E-08;0;0;0;-1.06E-08;0;0;0;-8.57E-04;0;0;1.74E-08;0;1.12E-08;0;0;0;0;0;0;0;0;0;6.35E-05;0;7.83E-04;0;0
668-34-8;4.26E-02;0.33007;3.76E-03;0.37646;0;-0.17121;0;-3.08E-03;0;-1.55E-05;1.14E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.17335;0;0;0;0;-4.30E-04;-3.39E-03;0;0;0;0;-0.17666;-1.46E-03;-7.60E-06;-2.35E-04;-0.17855;-4.13E-05;0;0;-2.02E-02;-2.03E-02;-4.65E-04;0;0;0;-6.73E-06;0;0;0;0;0;0;4.23E-07;0;1.01E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.99E-06
71626-11-4;0.20443;2.2102;2.44E-02;2.439;0;-4.45E-02;0;-3.33E-02;0;-5.47E-02;2.91E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.12584;0;0;0;0;-7.16E-03;-0.15813;0;0;0;0;-1.2745;-0.66519;-0.16267;-5.10E-03;-2.1436;-2.87E-04;0;0;-4.59E-04;-7.48E-04;-3.53E-03;0;0;0;-1.26E-02;0;0;0;0;0;0;4.42E-03;0;2.53E-02;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.71E-02
76674-21-0;1.1051;11.811;0.13047;13.047;0;-8.45E-02;0.12859;0;0;-0.75576;4.43E-03;0;0;0;0;0;0;0;0;0;0;-0.24315;0.39023;0;0;-2.22;1.02E-02;0;0;-1.1547;0;0;0;-3.5706;-7.39E-02;-1.9823;0;0;-0.21668;-6.0459;0;0;0;0;0;-9.48E-07;0;0;-1.88E-04;-1.89E-04;-1.88E-03;0;0;0;-0.47963;0;0;0;-1.619;0;0;2.38E-02;0;0.4623;0;0;0;0;0;0;0;0;0;8.13E-02;0;1.5313;0;0
10453-86-8;5.32E-03;5.91E-02;3.22E-03;6.76E-02;0;-2.10E-04;4.66E-06;0;6.62E-07;0;5.68E-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.64E-04;0;0;0;0;-3.88E-04;-1.74E-03;0;0;0;0;-6.13E-02;-5.52E-05;-1.11E-06;-1.22E-03;-6.36E-02;-3.65E-07;0;0;-1.74E-03;-1.74E-03;-4.14E-05;0;0;3.13E-09;0;0;0;0;0;0;0;2.75E-10;0;1.26E-07;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.80E-07
132-66-1;0.21996;2.1922;2.44E-02;2.4365;6.75E-05;0;0;-4.47E-05;0;-2.09E-05;3.98E-05;0;0;0;0;0;0;0;0;0;0;-1.61E-02;0.17084;0;0;-0.42506;3.22E-03;0;2.10E-05;0;0;0;0;-0.86306;-1.39E-03;-9.01E-05;0;0;-3.52E-02;-1.5123;-2.23E-02;-2.91E-04;-2.20E-04;-1.37E-03;-2.45E-02;-3.81E-09;0;0;-5.47E-05;-5.47E-05;-2.38E-06;0;0;0;-2.30E-05;0;0;0;-0.58433;0;0;1.51E-06;-1.72E-08;1.29E-05;0;0;0;0;0;0;0;0;0;2.89E-02;0;0.55563;0;-9.76E-05
95617-09-7;0.18053;1.7486;1.95E-02;1.9486;6.29E-05;0;0;-1.59E-05;0;-1.09E-07;2.75E-04;0;0;0;0;0;0;0;0;0;0;-2.83E-02;0.10812;0;0;-0.35783;2.85E-03;0;3.23E-04;0;0;0;0;-0.66386;-1.09E-03;-9.36E-05;0;0;-3.31E-02;-1.1978;-5.02E-02;-6.64E-05;-4.64E-06;-3.47E-03;-5.43E-02;-8.49E-08;0;0;-2.54E-04;-2.54E-04;-1.91E-06;0;0;0;-7.32E-08;0;0;0;-0.3862;0;0;2.95E-07;-4.38E-07;8.58E-08;-1.72E-08;0;0;0;0;0;0;0;0;1.91E-02;0;0.36706;0;-1.21E-06
105-99-7;0.32399;2.97;0.24564;3.5396;0;-5.20E-02;2.38E-02;0;3.13E-03;0;5.91E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.55E-02;0;0;0;0;-3.58E-02;-0.18756;0;0;0;0;-2.6587;-0.3554;-2.78E-02;-5.35E-02;-3.1595;-1.49E-02;0;0;-0.12376;-0.14076;-4.27E-04;0;0;1.60E-04;0;0;0;0;0;0;0;1.27E-03;0;1.09E-03;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.52E-03
108-67-8;1.4204;12.521;1.9475;15.889;0;-0.71949;0;-1.427;0;-2.4863;3.74E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.2769;0;0;0;0;-0.15054;-1.2164;0;0;0;0;-0.3664;-0.482;-0.24166;-1.72E-05;-1.1359;-3.1694;0;0;-1.4167;-8.1039;-5.15E-03;0;0;0;-0.74669;0;0;0;0;0;0;0.13381;0;0.65439;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.14E-02
111-46-6;655.53;5472.6;1252.2;7380.3;0;-70.166;22.661;0;11.639;0;13.345;0;0;0;0;0;0;0;0;0;0;-1.02E-05;3.19E-06;0;1.62E-06;0;1.38E-06;0;0;-9.0276;0;0;0;-2.07E-06;-177.46;-802.79;0;0;-1.34E-05;-1.06E-04;-4255.3;-1239.6;-153.91;-244.37;-6387.9;-0.44713;0;0;-2.527;-2.9752;-2.35E-05;0;0;0.98746;0;0;0;1.09E-07;0;0;0;4.4793;0;7.2379;0;0;0;0;0;0;0;0;0;6.24E-07;0;9.98E-07;0;-12.722
112-50-5;2.4728;20.651;11.532;34.656;0;-0.59553;0.19073;0;0.15095;0;5.84E-02;0;0;0;0;0;0;0;0;0;0;-7.14E-08;2.31E-08;0;1.83E-08;0;5.75E-09;0;0;-8.29E-02;0;0;0;-1.05E-08;-1.7166;-9.3529;0;0;-9.05E-08;-1.07E-06;-11.234;-7.1949;-1.8017;-0.46263;-23.497;-2.78E-04;0;0;-7.32E-03;-7.60E-03;-2.59E-06;0;0;1.13E-02;0;0;0;1.38E-09;0;0;0;5.65E-02;0;0.16965;0;0;0;0;0;0;0;0;0;6.82E-09;0;2.04E-08;0;-0.23763
119-64-2;2.6469;23.751;3.2738;29.671;0;-1.7383;0;-3.3045;0;-2.8888;7.44E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.4306;0;0;0;0;-0.25881;-2.0177;0;0;0;0;-3.9643;-3.188;-0.97809;-1.29E-04;-8.2899;-3.403;0;0;-2.6392;-10.661;-1.36E-02;0;0;0;-0.63503;0;0;0;0;0;0;0.18882;0;0.57789;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.13166
121-32-4;0.64873;5.4399;1.8176;7.9063;0;-6.24E-02;2.54E-02;0;1.63E-02;0;6.04E-03;0;0;0;0;0;0;0;0;0;0;-0.1732;7.75E-02;0;5.21E-02;0;9.70E-03;0;0;-8.28E-03;0;0;0;-1.96E-02;-0.19371;-0.73319;0;0;-0.13826;-1.9636;-1.2175;-1.7529;-1.1352;-4.60E-02;-4.8476;-5.20E-04;0;0;-1.30E-03;-1.82E-03;-4.71E-05;0;0;0;-1.31E-02;0;0;0;-4.35E-02;0;0;1.10E-02;0;6.61E-02;0;0;0;0;0;0;0;0;0;3.46E-02;0;0.20312;0;-0.25828
126-73-8;2.8985;25.831;3.7426;32.473;0;-1.1496;0;-2.0827;0;-3.0069;7.71E-02;0;0;-5.77E-08;0;-2.89E-08;6.58E-09;0;1.19E-10;0;0;0;0;0;0;0;0;0;0;-6.9753;0;-1.20E-08;0;0;-0.79459;-8.0493;-3.05E-07;-8.77E-05;0;0;-6.4333;-5.8156;-2.1417;-3.83E-02;-15.206;-0.69293;0;0;-0.55939;-1.3546;-9.25E-02;-3.96E-08;0;0;-0.84512;1.62E-08;0;0;0;0;0;0.24548;0;0.93139;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.33183
13674-84-5;5.5066;47.196;8.9842;61.686;0;-1.5547;0.61299;0;0.33486;0;0.1457;0;0;-1.60E-06;0;-1.08E-06;0;-9.58E-07;0;-1.29E-02;0;0;0;0;0;0;0;0;0;-0.11814;0;-1.29E-02;0;0;-1.4526;-9.6192;-7.37E-06;-2.14E-03;0;0;-25.402;-16.173;-4.235;-0.91376;-50.16;-0.26279;0;0;-5.42E-02;-0.31834;-4.46E-03;-9.81E-07;0;1.39E-02;0;0;-7.15E-07;0;0;0;0;0.14514;0;0.4352;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.59446
141-98-0;9.73E-02;0.81899;0.16484;1.0811;0;-4.01E-02;2.39E-02;0;0;-0.12297;2.54E-03;0;0;0;0;0;0;0;0;0;0;-2.23E-06;1.44E-06;0;0;-6.81E-06;9.71E-08;0;0;-0.27541;0;0;0;-1.64E-05;-5.06E-02;-0.61476;0;0;-2.39E-06;-3.62E-05;-6.02E-03;-1.61E-02;-2.04E-02;-1.22E-04;-5.31E-02;-3.21E-02;0;0;-3.21E-02;-8.71E-02;-9.73E-05;0;0;0;-0.13384;0;0;0;-8.67E-06;0;0;1.30E-02;0;0.12728;0;0;0;0;0;0;0;0;0;8.25E-07;0;7.85E-06;0;-6.48E-03
2156-97-0;1.0612;10.59;0.42926;12.08;0;-0.26885;2.20E-03;0;1.31E-05;0;3.73E-04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0.26818;0;0;0;0;-5.28E-02;-0.284;0;0;0;0;-10.297;-2.72E-02;-5.74E-05;-1.61E-03;-10.373;-2.28E-03;0;0;-1.0552;-1.0994;-2.83E-03;0;0;8.31E-08;0;0;0;0;0;0;0;2.28E-06;0;9.44E-08;0;0;0;0;0;0;0;0;0;0;0;0;0;-7.61E-06
26159-31-9;0.24294;2.0419;8.0179;10.303;0;-5.54E-04;2.43E-05;0;0;-1.51E-04;6.12E-04;0;0;-2.14E-09;0;-3.78E-10;1.09E-09;0;0;-5.70E-04;0;-9.55E-02;7.46E-02;0;0;-0.3657;5.14E-03;0;0;-1.03E-03;0;-5.70E-04;0;-1.0428;-0.66786;-0.37266;-9.53E-08;-4.91E-05;-0.59409;-7.6209;-4.73E-04;-3.62E-05;-4.08E-05;-3.41E-05;-2.10E-03;-2.21E-06;0;0;-1.08E-04;-1.10E-04;-6.71E-05;-1.88E-08;0;0;-1.47E-04;3.43E-09;0;0;-0.4161;0;0;1.60E-05;0;1.13E-04;0;0;0;0;0;0;0;0;0;3.68E-02;0;0.37923;0;-1.39E-05
