case,Etot (kmol/y),Fug-stora (kmol/y),Fug-storb (kmol/y),Pre-stora (kmol/y),Pre-storb (kmol/y),Ion-stora (kmol/y),Ion-storb (kmol/y),Fug-Abs (kmol/y),Fug-Sea (kmol/y),Pre-Abs (kmol/y),Pre-Sea (kmol/y),Ion-Abs (kmol/y),Ion-Sea (kmol/y),Decay (kmol/y),Volat (kmol/y),Fug-Sed (kmol/y),Pre-Sed (kmol/y),Ion-Sed (kmol/y),
"112-30-1",  1523.9    ,  0.0000    , -9.6070    ,  0.0000    ,-0.24544    ,  0.0000    ,  0.0000    , -9.7146    , -36.032    ,-0.24290E-04,-0.42684E-03,  0.0000    ,  0.0000    , -1349.3    , -119.02    ,-0.45203E-01,-0.17839E-03,  0.0000    ,
"115-96-8", 0.25571    ,  0.0000    ,-0.58215E-03,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.70495E-02,-0.46333E-01,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.20087    ,-0.86904E-03,-0.18118E-05,  0.0000    ,  0.0000    ,
"120-78-5",  605.28    ,  0.0000    , -123.97    ,  0.0000    , -3.8374    ,  0.0000    ,-0.32295E-02, -65.905    , -383.67    , -3.5299    ,-0.65016    ,-0.58280E-03,-0.86437E-02, -16.836    ,  0.0000    , -6.8068    ,-0.51941E-01,  0.0000    ,
"121-86-8",  2.7952    ,  0.0000    ,-0.88374    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.93161E-01, -1.1194    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.12072    ,-0.57484    ,-0.33170E-02,  0.0000    ,  0.0000    ,
"124-07-2",  496.53    ,  0.0000    ,-0.14132    ,  0.0000    ,-0.11205    ,  0.0000    , -130.49    , -2.9045    , -2.0222    ,-0.59336E-04,-0.55943E-02, -15.961    , -269.45    , -72.860    , -2.6720    ,-0.13691E-02,-0.56712E-04,  0.0000    ,
"131-17-9",  14.810    ,  0.0000    ,-0.66028E-02,  0.0000    ,-0.14700E-02,  0.0000    ,  0.0000    ,-0.21670    , -1.1225    ,-0.83939E-06,-0.26702E-03,  0.0000    ,  0.0000    , -13.365    ,-0.96454E-01,-0.11151E-02,-0.12210E-06,  0.0000    ,
"140-31-8",  617.01    ,  0.0000    ,-0.17912    ,  0.0000    ,  0.0000    ,  0.0000    , -128.27    , -22.599    , -13.136    ,  0.0000    ,  0.0000    , -29.353    , -421.19    , -2.2633    ,-0.46578E-03,-0.48130E-06,  0.0000    ,  0.0000    ,
"143-08-8",  33.857    ,  0.0000    ,-0.20233    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    ,-0.24370    ,-0.91120    ,  0.0000    ,  0.0000    ,  0.0000    ,  0.0000    , -29.889    , -2.6076    ,-0.60984E-03,  0.0000    ,  0.0000    ,
"15356-60-2",  45.642    ,  0.0000    ,-0.62162    ,  0.0000    ,-0.16292E-02,  0.0000    ,  0.0000    ,-0.86131    , -6.4090    ,-0.95066E-06,-0.22297E-03,  0.0000    ,  0.0000    , -33.697    , -4.0410    ,-0.11318E-01,-0.31528E-06,  0.0000    ,
"2416-94-6",  545.06    ,  0.0000    , -117.59    ,  0.0000    ,-0.94791E-01,  0.0000    ,-0.86784E-01, -21.494    , -256.67    ,-0.47672E-04,-0.37509E-02,-0.12523E-01,-0.19044    , -102.93    , -45.491    ,-0.46451    ,-0.49382E-04,  0.0000    ,
"2867-47-2",  458.46    ,  0.0000    ,-0.32465    ,  0.0000    ,  0.0000    ,  0.0000    , -1.5431    , -7.2191    , -34.898    ,  0.0000    ,  0.0000    , -4.8428    , -77.898    , -329.10    , -2.6192    ,-0.16801E-02,  0.0000    ,  0.0000    ,
