,2012/12/31_Cbulk,2013/12/31_Cbulk,
   9518136,    0.11985E-08,    0.35249E-08,
   9518142,    0.18367E-09,    0.42675E-09,
   9518166,    0.36410E-09,    0.47156E-09,
   9518174,    0.34880E-09,    0.44693E-09,
   9518192,    0.50155E-09,    0.81853E-09,
   9518205,    0.11082E-07,    0.94126E-08,
   9518210,    0.38881E-09,    0.66391E-09,
   9518212,    0.23566E-09,    0.35183E-09,
   9518218,    0.74587E-09,    0.89257E-09,
   9518219,    0.20611E-08,    0.35034E-08,
   9518244,    0.22469E-08,    0.16240E-08,
   9518249,    0.56761E-09,    0.13968E-08,
   9518255,    0.46391E-10,    0.58805E-10,
   9518267,    0.68985E-08,    0.34152E-08,
   9518272,    0.14262E-09,    0.19263E-09,
   9518281,    0.15730E-07,    0.23621E-07,
   9518296,    0.20289E-08,    0.70945E-08,
   9518328,    0.12959E-08,    0.25025E-08,
   9518365,    0.16479E-08,    0.15365E-07,
   9518400,    0.13201E-09,    0.19362E-09,
   9518403,    0.38207E-10,    0.34149E-10,
   9518406,    0.11229E-09,    0.18915E-09,
   9518414,    0.14285E-10,    0.25164E-10,
   9518438,    0.91613E-10,    0.13500E-09,
   9518450,    0.25356E-09,    0.41585E-09,
   9518457,    0.13619E-08,    0.12883E-08,
   9518461,    0.17838E-08,    0.14034E-08,
   9518480,    0.18565E-08,    0.25740E-08,
   9518495,    0.21004E-08,    0.26436E-08,
   9518542,    0.31319E-10,    0.27622E-10,
   9518587,    0.19637E-08,    0.48865E-08,
   9518591,    0.21267E-09,    0.34902E-09,
   9518646,    0.37927E-09,    0.11966E-08,
   9518667,    0.64405E-09,    0.53191E-09,
   9518688,    0.50477E-09,    0.66928E-09,
   9518701,    0.17611E-08,    0.16885E-08,
   9518738,    0.93953E-09,    0.18263E-08,
   9518739,    0.77661E-09,    0.28100E-08,
   9518758,    0.88226E-09,    0.10318E-08,
   9518778,    0.10331E-09,    0.40555E-09,
   9518824,    0.31490E-10,    0.47263E-10,
   9590917,    0.14864E-09,    0.10643E-09,
   9590926,    0.31191E-09,    0.21187E-08,
   9591036,    0.36391E-08,    0.18568E-08,
   9591060,    0.10354E-09,    0.69211E-10,
   9591063,    0.44008E-09,    0.25098E-08,
   9591075,    0.10618E-09,    0.33169E-09,
   9591095,    0.19503E-08,    0.22927E-08,
   9591125,    0.25573E-09,    0.15639E-08,
   9591204,    0.61974E-09,    0.36086E-08,
   9591230,    0.95610E-09,    0.64253E-08,
   9591754,    0.10609E-08,    0.10087E-08,
   9591993,    0.18571E-09,    0.11322E-09,
   9592117,    0.32873E-09,    0.33309E-09,
   9592146,    0.32306E-09,    0.30692E-09,
   9592149,    0.19483E-08,    0.16321E-08,
   9592778,    0.19187E-08,    0.27254E-08,
   9592782,    0.39305E-09,    0.11024E-08,
   9592785,    0.69841E-09,    0.14039E-08,
   9592789,    0.26457E-09,    0.16092E-08,
   9592805,    0.58353E-09,    0.27993E-08,
   9592810,    0.21425E-09,    0.54411E-09,
   9592815,    0.53061E-09,    0.15769E-08,
   9592819,    0.36181E-09,    0.17591E-08,
   9592867,    0.92669E-09,    0.26050E-08,
   9592881,    0.26264E-09,    0.90758E-09,
   9592882,    0.35776E-09,    0.10607E-08,
   9592889,    0.91983E-09,    0.36727E-08,
   9592894,    0.21013E-08,    0.34594E-08,
   9592907,    0.64547E-09,    0.86404E-09,
   9592911,    0.37725E-09,    0.62945E-09,
   9592923,    0.81343E-09,    0.15229E-08,
   9592930,    0.27363E-09,    0.62010E-09,
   9592953,    0.11020E-08,    0.48571E-08,
   9592959,    0.25419E-09,    0.63054E-09,
   9592981,    0.38366E-09,    0.10111E-08,
   9593006,    0.51029E-09,    0.20996E-08,
   9593007,    0.14182E-09,    0.45905E-09,
   9593010,    0.16092E-09,    0.50540E-09,
   9593032,    0.10475E-08,    0.22435E-08,
   9593044,    0.55318E-09,    0.22251E-08,
   9593048,    0.37329E-09,    0.13035E-08,
   9593056,    0.45635E-09,    0.27310E-08,
   9593062,    0.20017E-09,    0.41693E-09,
   9593065,    0.10493E-08,    0.45809E-08,
   9593068,    0.87909E-09,    0.36803E-08,
   9593073,    0.81139E-09,    0.38308E-08,
   9593082,    0.54838E-09,    0.17936E-08,
   9593086,    0.32430E-09,    0.87935E-09,
   9593103,    0.36081E-09,    0.35830E-08,
   9593120,    0.49978E-09,    0.17965E-08,
   9593135,    0.27064E-09,    0.11648E-08,
   9593141,    0.33084E-09,    0.17064E-08,
   9593152,    0.32308E-09,    0.11583E-08,
   9593158,    0.48829E-09,    0.10368E-08,
   9593164,    0.24154E-09,    0.51190E-09,
   9593191,    0.11837E-08,    0.28585E-08,
   9593199,    0.47540E-09,    0.78507E-09,
   9593210,    0.32173E-09,    0.11713E-08,
   9593218,    0.51130E-09,    0.77567E-09,
   9593227,    0.40099E-09,    0.73168E-09,
   9593229,    0.57335E-09,    0.19977E-08,
   9593239,    0.49303E-09,    0.10824E-08,
   9593248,    0.23870E-08,    0.43846E-08,
   9593249,    0.21429E-09,    0.63110E-09,
   9705969,    0.18145E-09,    0.24668E-09,
   9518318,    0.81352E-09,    0.22942E-08,
   9517173,    0.20272E-08,    0.29248E-08,
   9000979,    0.13576E-09,    0.20263E-09,
   9592035,    0.13160E-08,    0.12409E-08,
   9518458,    0.16201E-09,    0.68026E-10,
   9503911,    0.75456E-09,    0.11142E-08,
   9592791,    0.24190E-09,    0.51446E-09,
   9517923,    0.18032E-08,    0.40861E-08,
   9518425,    0.89239E-09,    0.11351E-08,
   9518550,    0.10175E-09,    0.14087E-09,
   9591822,    0.12164E-08,    0.11514E-08,
   9500295,    0.44284E-09,    0.13097E-08,
   9500603,    0.15251E-09,    0.16812E-09,
   9517926,    0.10296E-08,    0.26410E-08,
   9500238,    0.16409E-08,    0.24153E-08,
   9503136,    0.11786E-09,    0.16116E-09,
   9000809,    0.16903E-08,    0.80279E-09,
   9593089,    0.39593E-09,    0.87476E-09,
   9500499,    0.48425E-09,    0.73154E-09,
   9500287,    0.69711E-09,    0.18043E-08,
   9592998,    0.36365E-09,    0.17836E-08,
   9517971,    0.23484E-07,    0.44349E-07,
   9500409,    0.11461E-08,    0.28959E-08,
   9500262,    0.76410E-08,    0.75974E-08,
   9517004,    0.16781E-08,    0.24748E-08,
   9517689,    0.27563E-08,    0.49997E-08,
   9000813,    0.65810E-08,    0.33328E-08,
   9500258,    0.24881E-09,    0.57222E-09,
   9517080,    0.60148E-09,    0.93528E-09,
