CAS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,Close
41859-67-0,0.29,0.198,0.197,0.246,0.196,0.277,0.274,0.236,0.224,0.223,0.199,0.263,0.205,0.201,0.21,0.198,0.236,0.221,0.216,0.195,0.318,0.273,0.265,0.211,0.277,0.256,0.378,0.258,0.208,0.186,0.245,0.204,0.279,0.224,0.303,0.26,0.219,0.216,0.202,0.18,0.342,0.198,0,lf
10311-84-9,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
56-38-2,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
3689-24-5,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
84-65-1,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
41083-11-8,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
7287-19-6,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
112-53-8,2.007,1.552,1.545,1.823,1.534,1.904,2.152,1.848,1.755,1.753,1.558,2.063,1.607,1.573,1.644,1.555,1.849,1.735,1.692,1.529,2.166,2.14,2.078,1.656,2.015,2.012,2.419,1.899,1.628,1.457,1.923,1.602,2.191,1.755,2.236,2.043,1.715,1.692,1.583,1.412,2.28,1.552,0,lf
34256-82-1,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
298-02-2,1.707,1.164,1.158,1.448,1.151,1.63,1.614,1.386,1.316,1.314,1.168,1.547,1.205,1.18,1.233,1.166,1.386,1.301,1.269,1.147,1.871,1.605,1.558,1.242,1.631,1.509,2.224,1.519,1.221,1.093,1.442,1.201,1.643,1.316,1.783,1.532,1.286,1.269,1.188,1.059,2.011,1.164,0,lf
