MolMass,bp,mp,pv,ks,kac,kba,kn,kds,kde,kdw,kow0,kaw0,dhaw,
159276-62-7,312.3100,319.9700,38.80850,5.1534999E-02,3.1374276E-02,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,3.850000,-5.496030,68133.00,
3872-25-1,388.1900,363.8800,133.7150,2.805001,4.786316,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,1.470000,-4.655827,-999,
176969-34-9,176.1200,315.9000,119.0950,1.9350000E-04,62.30000,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,1.020000,-6.548180,91641.00,
382-10-5,164.0500,-15.63500,-124.5800,403990.3,0.9030000,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,2.850000,2.869968,-999,
2218-54-4,236.0210,254.8600,67.50000,365.5001,1010.000,-999,-999,-999,2.1400000E-08,9.6500003E-08,1.9300001E-07,0.2750000,-0.8025914,-999,
455-14-1,161.1300,190.0200,9.580000,64.05065,9.070000,-999,-999,8.7122570E-10,1.1300000E-06,1.1300000E-06,1.1300000E-06,2.080000,-3.743400,52052.00,
423-65-4,600.1180,221.7550,42.49500,2.031544,5.4300000E-07,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.180000,-6.5342903E-02,-999,
136239-66-2,186.2000,210.2500,1.5650034E-02,37.32400,0.3691300,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,3.364500,-1.380733,41485.00,
559-29-5,304.0350,33.27500,-95.26000,72527.17,8.0939997E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.525000,2.832540,-999,
75-38-7,64.03400,-40.36000,-144.0000,2492710.,100.0000,-999,-999,-999,1.1300000E-06,1.1300000E-06,1.1300000E-06,1.225000,0.9655421,18742.00,
118-83-2,225.5500,242.4200,31.00000,3.389000,0.2286633,-999,-999,-999,2.8600001E-08,2.8600001E-08,2.8600001E-08,3.230000,-2.251973,39015.00,
2043-55-2,373.9880,125.1650,-39.40500,1999.830,6.4699998E-05,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.020000,2.657482,-999,
68259-07-4,467.1500,301.8350,117.2750,0.7400895,3.3436800E-04,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.175000,-7.006534,-999,
151772-59-7,412.0590,224.3000,43.05500,1.921602,0.3886334,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,5.805000,-5.585741,-999,
3871-50-9,607.2100,366.2050,150.9350,4.8700000E-09,2.0635370E-03,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,4.210000,-2.820870,-999,
423-73-4,646.1190,285.4100,77.11000,0.1799850,5.4999997E-08,-999,-999,-999,7.1400001E-09,3.2199999E-08,6.4300004E-08,7.550000,3.874000,-999,
