CAS,50centile,95centile,99centile,
71720-86-0,8.507899999999999e-09,1.6133339999999987e-07,6.701655359999994e-07,
53826-12-3,8.726e-09,2.274066e-07,7.345903999999989e-07,
65510-55-6,2.56525e-17,7.04969199999999e-16,2.6937059199999985e-15,
72629-94-8,8.57955e-12,1.915829999999999e-10,8.498005159999994e-10,
376-34-1,1.2489e-08,3.369845999999999e-07,1.4737121999999983e-06,
2040-90-6,4.4854e-08,1.2199379999999993e-06,4.507125119999995e-06,
350-46-9,1.1962e-07,1.1250159999999998e-06,5.753523919999991e-06,
2706-89-0,2.0255e-08,4.477673999999999e-07,1.4657877599999997e-06,
73772-32-4,9.443e-09,1.763745999999999e-07,7.313914559999994e-07,
115375-60-5,5.43165e-10,1.8189019999999995e-08,1.0325357759999983e-07,
54910-89-3,4.83285e-10,1.3815539999999992e-08,5.3595317599999973e-08,
895525-76-5,6.0268999999999995e-09,1.8043679999999998e-07,7.770414039999994e-07,
16627-71-7,9.1111e-09,1.0609159999999997e-07,2.5288151599999954e-07,
30334-69-1,2.11855e-08,4.108036e-07,1.3118639599999987e-06,
1204298-65-6,2.7157500000000003e-08,7.440335999999998e-07,3.0416521199999953e-06,
354-38-1,4.8124e-08,1.1522379999999995e-06,4.280671759999997e-06,
335-67-1,5.05015e-11,6.144575999999998e-10,1.4669861599999996e-09,
731-27-1,2.09115e-21,7.615769999999995e-07,6.596141799999998e-06,
375-22-4,1.4561e-08,1.7324879999999982e-07,4.1948027599999983e-07,
57678-05-4,1.95315e-10,5.056825999999999e-09,1.981877239999999e-08,
63967-41-9,8.379850000000001e-09,9.837468e-08,2.3164527599999958e-07,
559-11-5,4.9104e-09,6.668661999999998e-08,1.58448608e-07,
641571-11-1,1.8466000000000001e-07,5.423993999999998e-06,2.2183435599999973e-05,
1869-24-5,4.4794e-08,9.946083999999997e-07,3.862603799999997e-06,
297730-93-9,6.77955e-11,1.5150439999999975e-09,4.453756639999989e-09,
86479-06-3,0.0,7.894465999999985e-10,2.3902162799999914e-08,
354-64-3,1.4027000000000001e-09,1.653607999999999e-08,6.03974387999999e-08,
3658-62-6,1.2732e-08,2.7885939999999983e-07,1.174598199999999e-06,
65150-94-9,1.39415e-18,3.9275119999999985e-17,1.4729680799999994e-16,
306-91-2,1.5016999999999997e-11,4.949499999999996e-10,2.7665071199999956e-09,
375-85-9,8.6851e-09,9.739741999999996e-08,2.4921027999999995e-07,
70969-47-0,1.87485e-12,6.293572e-11,3.567842599999996e-10,
176969-34-9,1.1977e-06,3.510353999999998e-05,0.0001426942399999998,
15166-06-0,5.41165e-09,9.776575999999983e-08,2.5523544399999994e-07,
83066-88-0,4.1817e-07,1.0559719999999998e-05,4.5584819599999965e-05,
22052-87-5,1.3087999999999999e-09,2.9639699999999947e-08,8.902125199999978e-08,
68555-77-1,1.21455e-08,2.8322499999999984e-07,1.176011919999999e-06,
375-50-8,4.5282499999999995e-09,6.109147999999996e-08,1.4487798399999995e-07,
52299-24-8,2.45805e-08,4.6020019999999967e-07,1.9088835999999986e-06,
461-82-5,1.29735e-08,3.6514199999999995e-07,1.4312735199999981e-06,
540468-96-0,2.95595e-08,6.983289999999999e-07,2.223790639999999e-06,
117-89-5,6.962700000000001e-09,2.0619439999999992e-07,9.068767279999996e-07,
72372-80-6,1.04535e-08,1.22134e-07,2.878204039999995e-07,
68187-47-3,1.4886999999999997e-10,2.7769639999999983e-09,1.1514001199999992e-08,
36097-07-1,0.0,0.0,0.0,
67905-19-5,2.3097e-14,8.758967999999991e-13,4.206012199999996e-12,
159276-62-7,1.2195999999999999e-08,3.668179999999997e-07,1.4708209599999987e-06,
2795-39-3,9.34905e-09,2.0496439999999987e-07,8.642097919999993e-07,
183065-68-1,2.05405e-07,6.060669999999997e-06,2.4717630799999966e-05,
429-67-4,2.7015e-14,1.0406959999999991e-12,4.998421359999996e-12,
135984-68-8,2.3194999999999997e-09,4.036559999999997e-08,8.857466399999997e-08,
141573-95-7,2.3001499999999995e-10,7.221708e-09,2.7824334399999963e-08,
126105-34-8,6.08295e-09,9.993117999999972e-08,2.6323992799999997e-07,
76-12-0,8.378500000000001e-10,1.0402439999999987e-08,3.5711295199999923e-08,
1939-27-1,2.40685e-08,5.771915999999998e-07,2.362544919999998e-06,
371771-07-2,3.8802500000000006e-08,1.16155e-06,4.988865759999992e-06,
