CAS,50centile,95centile,99centile,
306-83-2,3.9776e-08,4.873241999999999e-07,1.8132360799999986e-06,
1996-88-9,5.206e-11,1.6167039999999996e-09,7.682174199999998e-09,
2218-54-4,1.61095e-08,1.9092799999999982e-07,4.6346733199999975e-07,
203929-12-8,5.49635e-09,7.510634e-08,1.78990776e-07,
2712-83-6,1.0278000000000001e-08,2.8601539999999995e-07,1.2537779199999984e-06,
308-48-5,2.2832499999999998e-10,6.933631999999998e-09,2.7372467599999972e-08,
2923-26-4,1.98895e-08,3.68294e-07,1.1778480759999986e-06,
173350-69-1,3.13225e-10,9.270203999999995e-09,3.6013127999999954e-08,
68134-22-5,3.6482499999999996e-08,1.0806359999999994e-06,4.393427919999995e-06,
126586-91-2,1.136e-07,3.333399999999998e-06,1.3617115599999983e-05,
27619-89-2,2.53175e-10,3.919777999999997e-09,1.8338638399999954e-08,
68155-62-4,1.1279e-08,2.1039899999999984e-07,8.723387159999994e-07,
678-41-1,1.4640499999999998e-15,5.527951999999994e-14,2.6543036799999984e-13,
25291-17-2,3.8568499999999996e-09,6.089917999999996e-08,1.3759569599999994e-07,
1017183-70-8,3.2498e-09,7.315007999999998e-08,2.2753279599999985e-07,
1158182-60-5,1.4629499999999998e-14,5.506171999999995e-13,2.643190519999998e-12,
70887-94-4,3.41445e-11,1.1059559999999997e-09,4.532262239999996e-09,
1493-13-6,2.87295e-08,9.094653999999996e-07,3.523154959999996e-06,
1189052-95-6,0.0,0.0,0.0,
76298-23-2,1.11055e-08,1.3039119999999995e-07,3.089301799999995e-07,
34395-24-9,3.31325e-15,8.494479999999998e-14,3.448488919999998e-13,
1895-26-7,3.9864000000000006e-18,1.4887359999999986e-16,7.146591399999994e-16,
13252-13-6,2.0654e-08,3.9830579999999993e-07,1.4154482399999993e-06,
151213-15-9,2.1878e-08,6.105769999999995e-07,2.541978359999998e-06,
67786-14-5,1.70925e-08,3.1894279999999975e-07,1.322406479999999e-06,
88992-45-4,0.0,0.0,0.0,
377-73-1,2.52365e-08,5.837507999999995e-07,2.395272159999998e-06,
256473-05-9,1.2278499999999997e-07,3.4383119999999992e-06,1.2137842799999995e-05,
68259-11-0,2.63015e-08,4.913973999999996e-07,2.0383237199999984e-06,
2374-14-3,6.474749999999999e-11,1.5365059999999988e-09,6.040849479999996e-09,
776-04-5,1.7412e-09,3.5251359999999985e-08,1.1736601999999995e-07,
365971-87-5,9.72795e-13,3.591027999999996e-11,1.7142031599999989e-10,
189300-85-4,2.8507500000000002e-08,5.811045999999999e-07,1.7199435599999984e-06,
41997-13-1,9.70715e-09,2.1147099999999984e-07,6.304949919999991e-07,
307-51-7,2.04755e-12,6.895787999999993e-11,4.3513127599999934e-10,
15457-05-3,2.0830499999999999e-10,6.857109999999995e-08,1.153144479999999e-06,
57589-85-2,1.46615e-12,5.517165999999994e-11,2.6464834399999973e-10,
335-95-5,1.3208499999999999e-08,2.1383139999999995e-07,6.363436919999999e-07,
37595-74-7,9.906849999999999e-09,1.299244e-07,3.0424071199999986e-07,
94239-04-0,2.0525e-08,2.2801379999999993e-07,5.982768559999996e-07,
355-70-4,5.33875e-09,7.228183999999996e-08,1.7094615599999996e-07,
142459-58-3,1.04275e-07,4.6461819999999986e-07,6.2943679999999934e-06,
27603-25-4,2.5433e-08,5.630864e-07,2.0314119199999985e-06,
102625-64-9,1.4229500000000002e-07,4.201941999999997e-06,1.7083520399999977e-05,
55283-68-6,5.103e-10,1.7031439999999978e-07,2.1301601199999946e-06,
35037-73-1,2.976e-08,6.629347999999996e-07,2.2097431999999977e-06,
163702-05-4,9.37695e-08,1.0941619999999998e-06,2.599393399999995e-06,
2806-16-8,5.8843e-09,1.6940819999999996e-07,7.401458399999992e-07,
1072957-71-1,1.0231999999999999e-08,2.9922440000000003e-07,1.2977674399999984e-06,
355-79-3,1.1618499999999999e-08,1.3358119999999994e-07,3.2026570399999945e-07,
68608-14-0,1.3479500000000001e-15,5.2035899999999954e-14,2.499757719999998e-13,
176310-29-5,1.0039e-08,1.1717799999999997e-07,2.7887852399999954e-07,
312-94-7,4.3508e-08,5.037373999999997e-07,1.9515069199999966e-06,
68298-11-3,7.8372e-09,1.506055999999999e-07,6.269607639999995e-07,
497833-04-2,2.2084e-08,2.822444e-07,7.015522239999997e-07,
69681-35-2,1.0167e-08,1.1783879999999996e-07,2.953021279999998e-07,
68238-92-6,7.49625e-09,1.3975239999999988e-07,5.793825719999996e-07,
90076-65-6,1.15505e-08,1.3028759999999999e-07,3.363818799999997e-07,
2994-71-0,7.3571000000000006e-09,8.650077999999993e-08,2.0673654399999978e-07,
2355-31-9,1.3913000000000001e-09,4.3704199999999977e-08,2.1546561999999987e-07,
45285-51-6,6.1549999999999995e-09,7.490179999999998e-08,1.7880831999999997e-07,
375-95-1,3.1686999999999996e-09,4.877059999999999e-08,1.1280804399999993e-07,
2062-78-4,8.911549999999999e-10,2.890669999999998e-08,1.665448999999998e-07,
2043-57-4,1.5291e-09,3.499759999999999e-08,1.3524445599999992e-07,
57678-07-6,1.31375e-10,4.931395999999996e-09,2.252019359999998e-08,
59587-38-1,1.5129e-08,2.9384299999999975e-07,1.213999959999999e-06,
39492-90-5,1.4585e-09,4.6445879999999986e-08,2.587245239999998e-07,
349-76-8,2.34075e-08,4.912411999999996e-07,1.636912519999998e-06,
1085-98-9,1.01745e-22,3.958913999999999e-08,3.4823609199999996e-07,
678-39-7,8.110600000000001e-11,1.4485959999999985e-09,3.256024439999998e-09,
68310-12-3,3.31335e-14,1.2508099999999988e-12,6.004016199999994e-12,
16517-11-6,7.839050000000001e-16,2.968459999999997e-14,1.424698559999999e-13,
57677-95-9,3.2019e-12,1.215839999999999e-10,5.815403279999996e-10,
88-17-5,3.3397e-09,8.911519999999995e-08,2.8064139999999995e-07,
27905-45-9,8.49445e-12,2.5616499999999996e-10,1.0050250999999988e-09,
1978-24-1,6.8460000000000006e-09,7.992123999999998e-08,1.890125239999997e-07,
94094-26-5,4.0396e-17,1.5525259999999984e-15,7.457800479999994e-15,
425670-75-3,1.2555500000000001e-08,2.951731999999998e-07,1.0003854399999997e-06,
18063-03-1,2.53185e-07,7.425463999999997e-06,3.047250439999996e-05,
26650-09-9,2.7721e-10,4.508067999999999e-09,1.810519799999999e-08,
30381-98-7,1.5920499999999999e-12,5.841465999999995e-11,2.7997704399999977e-10,
56734-81-7,8.013399999999999e-09,9.348173999999999e-08,2.203604839999996e-07,
118-83-2,3.729750000000001e-08,4.278795999999999e-07,1.680699479999999e-06,
2991-51-7,5.868e-09,1.6152079999999997e-07,7.018295279999992e-07,
1895-14-3,7.89175e-13,2.9870119999999975e-11,1.4276605199999988e-10,
329-01-1,2.36665e-08,3.7219539999999995e-07,1.4850817199999987e-06,
3108-42-7,8.09745e-09,2.2390819999999993e-07,9.79239731999999e-07,
34455-22-6,6.37775e-10,1.8761839999999995e-08,8.023616519999992e-08,
2923-93-5,3.8090000000000005e-14,1.4450659999999985e-12,6.940499839999995e-12,
1623-05-8,9.51525e-10,1.0971159999999994e-08,2.6277740799999953e-08,
120226-60-0,2.76565e-09,3.816857999999999e-08,9.632406479999992e-08,
34454-97-2,1.5281999999999997e-09,3.079985999999998e-08,1.275465599999999e-07,
865-86-1,9.6803e-10,2.498742e-08,8.012329199999998e-08,
130841-23-5,6.05215e-09,1.4037019999999996e-07,5.530808959999991e-07,
85813-73-6,2.0029e-08,3.4096419999999973e-07,9.68610456e-07,
1763-23-1,1.85805e-11,2.1395979999999973e-10,5.389822799999999e-10,
120885-29-2,8.7092e-09,9.766771999999996e-08,2.4990237999999993e-07,
610800-34-5,2.7930499999999997e-12,1.079065999999999e-10,5.090713039999995e-10,
14650-24-9,6.232849999999999e-11,1.5098239999999995e-09,5.925044079999996e-09,
640731-95-9,1.3164999999999999e-08,1.9642339999999995e-07,5.303737039999999e-07,
1696259-68-3,7.735e-09,8.841493999999998e-08,2.1003031999999966e-07,
3871-99-6,1.3466999999999999e-08,2.579303999999998e-07,1.0629440039999991e-06,
1696259-88-7,3.065e-14,1.2047999999999987e-12,5.787656719999996e-12,
138526-69-9,3.09625e-08,3.546088e-07,1.4175937599999973e-06,
68412-68-0,6.6738e-09,1.892564e-07,7.205942199999995e-07,
50594-66-6,4.24955e-10,5.964057999999993e-08,1.0434980399999993e-06,
335-27-3,0.0,0.0,0.0,
68555-73-7,2.1988000000000003e-09,6.944623999999994e-08,3.107325959999999e-07,
103055-07-8,0.0,3.731807999999999e-10,1.2698078439999962e-08,
77501-63-4,1.11985e-09,3.344377999999999e-08,1.4754387199999981e-07,
355-42-0,5.7951999999999995e-11,7.271915999999997e-10,1.76697912e-09,
98-17-9,6.93445e-08,6.141049999999995e-07,2.7673789599999978e-06,
67584-57-0,2.27195e-09,6.754623999999999e-08,2.8267913999999994e-07,
376-06-7,5.25335e-13,1.8416959999999983e-11,8.808309839999994e-11,
134605-64-4,2.2934499999999998e-09,6.762983999999994e-08,2.794773799999996e-07,
25268-77-3,1.4598e-09,4.442003999999998e-08,1.7547923599999986e-07,
102061-82-5,2.39625e-08,4.510729999999997e-07,1.8669297199999986e-06,
38565-52-5,6.0430999999999995e-09,7.712598e-08,1.920356879999999e-07,
20109-59-5,1.6363e-08,2.8929539999999997e-07,8.986305279999995e-07,
423-82-5,4.6714e-11,1.576751999999999e-09,9.093817799999985e-09,
914637-49-3,1.0776e-08,2.91496e-07,9.75206467999999e-07,
136426-54-5,1.3095e-07,6.152374e-07,5.718217679999992e-06,
53826-13-4,6.984899999999999e-11,1.9422379999999995e-09,6.591141399999999e-09,
113659-14-6,5.86245e-12,1.8743279999999975e-10,1.1711167679999981e-09,
352-87-4,2.42275e-08,3.115352e-07,7.770138679999995e-07,
50650-59-4,3.3395e-08,8.036171999999998e-07,3.0353103999999966e-06,
4089-58-1,1.2479e-12,4.2070999999999986e-11,2.4354433999999966e-10,
17741-60-5,3.44185e-13,1.0620419999999985e-11,3.837054839999999e-11,
86386-73-4,1.2272499999999999e-09,3.436125999999999e-08,1.376827119999999e-07,
2927-83-5,1.1371999999999999e-07,1.2678239999999993e-06,3.189269279999998e-06,
166524-65-8,3.7097e-09,9.919991999999996e-08,3.573959719999997e-07,
61213-25-0,1.7275e-09,4.449897999999996e-08,5.222700479999986e-07,
68555-74-8,1.152e-08,2.674807999999999e-07,1.1060713559999993e-06,
1868-86-6,1.13825e-08,2.772065999999999e-07,1.1282030879999992e-06,
2144-53-8,2.19945e-10,5.747371999999996e-09,2.185698359999999e-08,
801-26-3,1.07685e-09,2.6862299999999996e-08,8.504870239999986e-08,
1696259-85-4,1.52935e-13,5.989655999999994e-12,2.8749368799999976e-11,
2043-54-1,4.4165000000000004e-13,1.6402979999999985e-11,7.840547119999994e-11,
40143-77-9,1.7732e-11,4.166206e-10,1.7637118799999986e-09,
335-76-2,9.685699999999999e-10,2.403001999999999e-08,7.287466279999988e-08,
2062-98-8,7.5066e-11,8.734303999999997e-10,2.0817651999999963e-09,
375-80-4,4.4716000000000004e-10,1.1952579999999996e-08,3.07333584e-08,
85509-19-9,8.15445e-09,2.3025539999999967e-07,2.8427978399999965e-06,
34362-49-7,1.6356e-16,4.423555999999994e-15,1.724126439999999e-14,
27314-13-2,1.3971500000000001e-11,7.089979999999987e-09,1.1944839599999987e-07,
34451-26-8,0.0,0.0,0.0,
1582-09-8,6.735800000000001e-10,8.644489999999992e-07,1.2614304399999978e-05,
4234-23-5,5.70875e-09,1.65728e-07,7.291187559999996e-07,
2395-00-8,1.5741000000000002e-08,3.034167999999997e-07,1.251385079999999e-06,
52334-81-3,2.4062e-07,3.278446e-06,7.319719639999996e-06,
219715-34-1,3.96925e-08,1.0155939999999995e-06,2.9568161999999963e-06,
75-89-8,8.91795e-08,1.9949139999999993e-06,6.915300079999986e-06,
812-70-4,2.13975e-09,3.9956599999999944e-08,9.42608155999999e-08,
51851-37-7,1.7199999999999999e-09,3.3114479999999956e-08,8.154476639999988e-08,
69681-37-4,8.150750000000001e-10,2.032922e-08,6.48952487999999e-08,
73609-36-6,5.659e-12,1.788557999999999e-10,8.815702999999996e-10,
1583-59-1,5.4126e-08,1.2064859999999998e-06,3.914964399999997e-06,
355-37-3,9.02465e-09,1.0516179999999996e-07,2.480712159999996e-07,
72007-68-2,3.1756e-09,4.8876419999999995e-08,1.1305644799999995e-07,
60699-51-6,2.2301e-15,5.809979999999997e-14,2.328764559999999e-13,
31506-32-8,1.9057e-09,6.089833999999998e-08,2.927768799999999e-07,
63967-42-0,3.79455e-10,1.0817819999999999e-08,4.0259087999999945e-08,
2164-17-2,2.4698e-09,3.7670259999999993e-07,3.883070879999997e-06,
2043-55-2,4.8903e-10,6.267617999999998e-09,1.5605928799999995e-08,
335-57-9,2.7143500000000002e-09,4.3318099999999983e-08,9.658236239999995e-08,
30046-31-2,5.7248e-16,1.5008139999999988e-14,5.991077919999995e-14,
22715-45-3,2.93495e-08,5.166387999999999e-07,1.9626055599999986e-06,
86404-63-9,2.69495e-08,6.049089999999995e-07,2.510414599999998e-06,
778-94-9,7.9558e-08,2.1679759999999987e-06,7.947167759999992e-06,
70887-88-6,9.086599999999999e-09,1.1207239999999992e-07,2.7690595999999986e-07,
98967-40-9,5.6494e-09,1.4149420000000002e-07,6.077442839999995e-07,
38006-74-5,6.1523999999999996e-09,1.6396479999999994e-07,7.108414639999993e-07,
13846-22-5,8.714999999999999e-09,1.0248139999999997e-07,2.4240333599999955e-07,
88374-05-4,1.9351500000000003e-09,5.4765219999999965e-08,2.0267205599999978e-07,
70281-93-5,8.4598e-09,2.1315119999999988e-07,8.979912559999991e-07,
647-42-7,1.1043000000000002e-08,1.3944979999999993e-07,5.516201279999987e-07,
15899-31-7,1.6683e-09,4.326593999999999e-08,1.6815429919999966e-07,
430-67-1,9.083600000000001e-08,2.3213159999999984e-06,7.60154111999999e-06,
83164-33-4,1.5622e-08,1.8292339999999995e-07,2.1356637999999917e-06,
