,2012/12/31_Cdis,2013/12/31_Cdis,
   9518328,    0.37078E-13,    0.19375E-13,
   9518365,    0.32479E-13,    0.85992E-14,
   9518400,    0.73591E-14,    0.17636E-14,
   9518403,    0.68983E-21,    0.60054E-18,
   9518406,    0.83912E-14,    0.61157E-14,
   9518414,    0.69193E-20,    0.99992E-19,
   9518438,    0.24961E-19,    0.36756E-18,
   9518450,    0.81225E-14,    0.67151E-14,
   9518457,    0.20168E-11,    0.84795E-12,
   9518461,    0.23880E-16,    0.17657E-16,
   9518480,    0.40210E-13,    0.29195E-13,
   9518495,    0.37749E-12,    0.29595E-13,
   9518542,    0.72227E-21,    0.93555E-19,
   9518587,    0.11154E-19,    0.95382E-19,
   9518591,    0.15779E-13,    0.47387E-13,
   9518646,    0.27062E-11,    0.90594E-12,
   9518667,    0.43084E-17,    0.41060E-17,
   9518688,    0.34643E-13,    0.17759E-14,
   9518701,    0.66557E-21,    0.93267E-19,
   9518738,    0.68719E-19,    0.92788E-19,
   9518739,    0.17298E-12,    0.56314E-13,
   9518758,    0.29125E-19,    0.93402E-19,
   9518778,    0.27674E-13,    0.28934E-13,
   9518824,    0.12827E-19,    0.34407E-18,
   9590917,    0.13361E-13,    0.36880E-13,
   9590926,    0.89391E-14,    0.16941E-14,
   9591036,    0.15751E-13,    0.43647E-13,
   9591060,    0.41402E-14,    0.12093E-13,
   9591063,    0.87105E-13,    0.82553E-14,
   9591075,    0.51186E-14,    0.10826E-14,
   9591095,    0.11006E-12,    0.18384E-13,
   9591125,    0.10079E-13,    0.16435E-14,
   9591204,    0.15730E-13,    0.17931E-14,
   9591230,    0.19914E-13,    0.24636E-14,
   9591754,    0.12643E-20,    0.94087E-19,
   9591993,    0.56097E-20,    0.11285E-18,
   9592117,    0.50800E-20,    0.58925E-18,
   9592146,    0.20685E-13,    0.73831E-13,
   9592149,    0.16304E-14,    0.12713E-14,
   9592778,    0.54700E-12,    0.36349E-14,
   9592782,    0.52474E-13,    0.84156E-14,
   9592785,    0.15876E-12,    0.16550E-13,
   9592789,    0.73188E-13,    0.50311E-14,
   9592805,    0.65927E-13,    0.84656E-14,
   9592810,    0.10615E-12,    0.18023E-13,
   9592815,    0.11100E-12,    0.34115E-13,
   9592819,    0.65698E-13,    0.63262E-14,
   9592867,    0.32536E-13,    0.36356E-14,
   9592881,    0.92787E-13,    0.73737E-14,
   9592882,    0.28010E-12,    0.46904E-14,
   9592889,    0.57480E-13,    0.75100E-14,
   9592894,    0.90003E-12,    0.12646E-13,
   9592907,    0.74785E-12,    0.65120E-14,
   9592911,    0.40754E-11,    0.35918E-10,
   9592923,    0.89221E-13,    0.54112E-14,
   9592930,    0.41487E-14,    0.15352E-14,
   9592953,    0.16588E-12,    0.29185E-12,
   9592959,    0.66683E-13,    0.14037E-14,
   9592981,    0.44361E-13,    0.45685E-14,
   9593006,    0.76824E-13,    0.76392E-14,
   9593007,    0.24040E-13,    0.32632E-14,
   9593010,    0.38828E-13,    0.50550E-15,
   9593032,    0.55457E-13,    0.70329E-14,
   9593044,    0.50046E-13,    0.47088E-14,
   9593048,    0.38341E-13,    0.73458E-14,
   9593056,    0.89374E-13,    0.74919E-14,
   9593062,    0.70312E-14,    0.18600E-14,
   9593065,    0.64099E-13,    0.69369E-14,
   9593068,    0.74996E-13,    0.19000E-13,
   9593073,    0.86523E-13,    0.97810E-14,
   9593082,    0.10171E-10,    0.67518E-10,
   9593086,    0.15861E-12,    0.10545E-12,
   9593103,    0.14845E-12,    0.24726E-10,
   9593120,    0.62256E-13,    0.89354E-14,
   9593135,    0.19695E-12,    0.41534E-14,
   9593141,    0.32789E-13,    0.45647E-14,
   9593152,    0.10052E-12,    0.36842E-14,
   9593158,    0.49803E-13,    0.17735E-14,
   9593164,    0.26717E-13,    0.27788E-14,
   9593191,    0.31139E-12,    0.28174E-14,
   9593199,    0.63393E-12,    0.17220E-13,
   9593210,    0.51646E-13,    0.42411E-14,
   9593218,    0.86563E-12,    0.14507E-13,
   9593227,    0.11807E-11,    0.29009E-12,
   9593229,    0.10911E-12,    0.26087E-14,
   9593239,    0.74851E-13,    0.14749E-13,
   9593248,    0.48237E-11,    0.29476E-10,
   9593249,    0.59805E-13,    0.19321E-14,
   9705969,    0.17251E-11,    0.11710E-11,
   9518318,    0.19366E-10,    0.83857E-10,
   9517173,    0.52719E-13,    0.59469E-13,
   9000979,    0.39345E-20,    0.49782E-18,
   9592035,    0.30451E-20,    0.22991E-18,
   9518458,    0.62601E-21,    0.90522E-18,
   9503911,    0.68760E-12,    0.64175E-12,
   9592791,    0.39549E-13,    0.10165E-14,
   9517923,    0.10576E-13,    0.93491E-14,
   9518425,    0.88362E-14,    0.26327E-15,
   9518550,    0.16448E-13,    0.28556E-13,
   9591822,    0.11080E-16,    0.86757E-17,
   9500295,    0.64066E-13,    0.83499E-14,
   9500603,    0.46480E-13,    0.70400E-13,
   9517926,    0.91568E-13,    0.87858E-13,
   9500238,    0.39888E-13,    0.58277E-13,
   9503136,    0.19090E-12,    0.75489E-13,
   9000809,    0.11188E-09,    0.94050E-10,
   9593089,    0.65709E-14,    0.16841E-14,
   9500499,    0.42882E-12,    0.52996E-12,
   9500287,    0.17954E-12,    0.74707E-12,
   9592998,    0.29996E-12,    0.11206E-11,
   9517971,    0.62410E-10,    0.10748E-09,
   9500409,    0.22665E-13,    0.25643E-13,
   9500262,    0.27256E-12,    0.21696E-12,
   9517004,    0.39421E-12,    0.86127E-12,
   9517689,    0.18649E-12,    0.27371E-10,
   9000813,    0.12548E-11,    0.66558E-12,
   9500258,    0.39551E-13,    0.28496E-14,
   9517080,    0.13995E-13,    0.12315E-13,
   9517951,    0.17243E-12,    0.26205E-13,
   9518112,    0.21271E-13,    0.21508E-14,
   9500283,    0.11660E-12,    0.25981E-13,
   9592903,    0.49040E-13,    0.45678E-14,
   9000850,    0.63661E-13,    0.67262E-13,
   9500276,    0.12145E-12,    0.28389E-13,
   9592840,    0.16584E-11,    0.10703E-10,
   9000980,    0.53085E-20,    0.24131E-17,
   9500277,    0.49537E-12,    0.11447E-11,
   9503678,    0.15473E-13,    0.49679E-14,
   9001234,    0.15723E-11,    0.94265E-12,
   9518292,    0.44497E-12,    0.91459E-12,
   9517825,    0.28804E-13,    0.74287E-14,
   9593225,    0.74554E-12,    0.10025E-13,
   9504555,    0.68046E-11,    0.10490E-10,
   9500410,    0.31708E-12,    0.21456E-12,
   9504039,    0.47200E-12,    0.32704E-12,
   9500284,    0.37746E-13,    0.30175E-11,
   9518452,    0.28475E-12,    0.36306E-12,
   9518124,    0.15478E-11,    0.23778E-11,
   9500255,    0.41282E-13,    0.64355E-14,
   9500213,    0.14792E-09,    0.24120E-09,
   9517479,    0.44774E-13,    0.29791E-13,
   9517816,    0.19309E-13,    0.96660E-14,
   9592784,    0.39490E-12,    0.46600E-14,
   9517785,    0.27707E-12,    0.11555E-12,
   9500294,    0.78392E-13,    0.55533E-14,
   9517493,    0.11637E-12,    0.19526E-13,
   9000978,    0.13693E-11,    0.29364E-11,
   9518072,    0.13569E-12,    0.18885E-13,
   9517402,    0.12465E-13,    0.47191E-14,
   9518590,    0.17741E-13,    0.26199E-13,
   9592868,    0.16295E-12,    0.16717E-13,
   9517855,    0.19783E-12,    0.85999E-12,
   9517777,    0.22900E-12,    0.87752E-12,
   9500264,    0.45155E-12,    0.11315E-11,
   9517049,    0.25042E-13,    0.97848E-14,
   9504560,    0.20987E-12,    0.12882E-12,
   9518570,    0.47362E-12,    0.14567E-11,
   9503062,    0.22697E-13,    0.53772E-13,
   9593223,    0.26048E-13,    0.22428E-14,
   9593052,    0.43688E-12,    0.27404E-14,
   9517948,    0.17969E-12,    0.27093E-13,
   9517534,    0.38888E-13,    0.21658E-11,
   9518497,    0.13096E-12,    0.18860E-14,
   9517447,    0.16135E-13,    0.41884E-15,
   9503380,    0.15374E-12,    0.87540E-13,
   9517881,    0.17837E-13,    0.22306E-14,
   9500254,    0.14395E-11,    0.29239E-11,
   9503244,    0.60812E-13,    0.19059E-13,
   9518640,    0.10828E-13,    0.10016E-13,
   9517606,    0.25190E-13,    0.52850E-14,
   9517729,    0.22200E-12,    0.99650E-12,
   9591828,    0.44290E-14,    0.18504E-14,
   9517705,    0.18802E-10,    0.33635E-10,
   9517697,    0.62149E-13,    0.15124E-10,
   9518577,    0.61352E-21,    0.35971E-17,
   9518332,    0.14662E-11,    0.35290E-11,
   9503061,    0.24872E-13,    0.40469E-13,
   9518179,    0.62677E-13,    0.52629E-13,
   9504337,    0.27750E-12,    0.56247E-12,
   9517812,    0.72449E-12,    0.65462E-11,
   9518105,    0.15459E-12,    0.25479E-13,
   9518732,    0.20196E-19,    0.64944E-18,
   9503800,    0.53028E-11,    0.16092E-10,
   9518358,    0.22696E-13,    0.25866E-13,
   9517602,    0.29706E-13,    0.28165E-13,
   9517798,    0.28492E-13,    0.53399E-14,
   9517585,    0.10514E-12,    0.14532E-13,
   9500261,    0.52755E-12,    0.13786E-11,
   9518535,    0.64989E-20,    0.70884E-17,
   9593033,    0.50085E-13,    0.48186E-14,
   9591133,    0.72628E-13,    0.64418E-14,
   9500246,    0.48126E-12,    0.35293E-12,
   9504353,    0.53989E-10,    0.57845E-10,
   9503199,    0.30156E-12,    0.79669E-13,
   9000917,    0.14623E-13,    0.26032E-14,
   9504667,    0.67841E-11,    0.18468E-10,
   9517680,    0.46753E-12,    0.91260E-10,
   9518044,    0.62172E-10,    0.67841E-10,
   9517636,    0.68776E-11,    0.67791E-10,
   9517289,    0.35662E-12,    0.77256E-12,
   9500439,    0.47514E-11,    0.72108E-11,
   9518043,    0.82884E-10,    0.15895E-09,
   9517853,    0.46086E-13,    0.32970E-13,
   9593213,    0.37130E-11,    0.26045E-10,
   9518676,    0.34995E-14,    0.52389E-15,
   9518257,    0.20280E-12,    0.11561E-12,
   9593174,    0.47931E-13,    0.28660E-14,
   9593219,    0.25675E-12,    0.17061E-11,
   9502925,    0.11367E-10,    0.14928E-10,
   9518276,    0.13071E-09,    0.33964E-09,
   9503453,    0.15757E-12,    0.24733E-12,
   9518015,    0.45017E-13,    0.11307E-13,
